Word,Description,Category
주식,회사의 조그마한 조각을 가지고 있다는 종이예요,투자
증권,돈처럼 쓸 수 있는 특별한 종이예요,투자
주가,주식을 살 때 내는 돈이에요,투자
상장,회사가 처음으로 주식을 팔기 시작하는 거예요,투자
배당,회사가 번 돈을 주식 가진 사람들에게 나눠주는 것이에요,투자
주주,회사의 조그마한 조각을 가지고 있는 사람이에요,투자
저축,나중에 쓰려고 돈을 모으는 거예요,금융
은행,돈을 안전하게 보관하고 빌려주는 곳이에요,금융
적금,매월 조금씩 돈을 모아서 나중에 더 많이 받는 거예요,금융
예금,은행에 돈을 맡기는 거예요,금융
이자,돈을 빌려쓰거나 맡겼을 때 더 받는 돈이에요,금융
신용,약속을 잘 지키는 것이에요,금융
수요,사람들이 사고 싶어하는 물건의 수예요,경제기초
공급,가게에서 팔 수 있는 물건의 수예요,경제기초
물가,물건들의 값이 얼마나 비싼지 알려주는 거예요,경제기초
시장,사람들이 모여서 물건을 사고 파는 곳이에요,경제기초
더하기,숫자를 합치는 마법이에요,수학
빼기,숫자를 작게 만드는 마법이에요,수학
곱하기,같은 수를 여러 번 더하는 마법이에요,수학
나누기,숫자를 같은 크기로 나누는 마법이에요,수학
도형,여러가지 모양을 가진 그림이에요,수학
Money,물건을 살 때 쓰는 돈이에요,영어
Bank,돈을 지키는 특별한 곳이에요,영어
Save,돈을 아껴두는 것이에요,영어
Buy,물건을 사는 것이에요,영어
Sell,물건을 파는 것이에요,영어
기업,여러 사람들이 함께 일하는 회사예요,비즈니스
고객,가게에서 물건을 사는 사람이에요,비즈니스
품질,물건이 얼마나 잘 만들어졌는지를 말해요,비즈니스
영업,물건을 팔기 위해 열심히 일하는 거예요,비즈니스
전략,무언가를 잘하기 위한 멋진 계획이에요,비즈니스
수출,우리나라 물건을 다른 나라에 파는 거예요,국제거래
수입,다른 나라 물건을 우리나라로 가져오는 거예요,국제거래
환율,다른 나라 돈과 우리나라 돈을 바꾸는 비율이에요,국제거래
투자자,돈을 불려서 이익을 얻으려고 하는 사람이에요,투자
채권,돈을 빌려주고 나중에 이자와 함께 받는 종이예요,투자
펀드,여러 사람의 돈을 모아서 함께 투자하는 거예요,투자
수수료,서비스를 이용할 때 내는 돈이에요,금융
자산,내가 가지고 있는 모든 것의 가치예요,금융
부채,갚아야 할 돈이에요,금융
대출,은행에서 돈을 빌리는 거예요,금융
보험,만약의 사고나 문제를 대비해서 가입하는 거예요,금융
카드,현금 대신 쓸 수 있는 플라스틱 카드예요,금융
통장,은행에서 주는 돈을 기록하는 책이에요,금융
경제,사람들이 물건을 사고 파는 모든 활동이에요,경제기초
가격,물건을 살 때 내야 하는 돈의 양이에요,경제기초
소비,물건이나 서비스를 사용하는 것이에요,경제기초
생산,물건을 만드는 것이에요,경제기초
이익,번 돈에서 쓴 돈을 뺀 것이에요,비즈니스
손실,쓴 돈이 번 돈보다 많은 것이에요,비즈니스
마케팅,물건을 잘 팔기 위한 여러가지 활동이에요,비즈니스
서비스,사람들에게 도움이 되는 일을 하는 것이에요,비즈니스
광고,물건이나 서비스를 알리는 것이에요,비즈니스
계약,서로 약속을 하고 문서로 만드는 것이에요,비즈니스
무역,다른 나라와 물건을 사고파는 것이에요,국제거래
관세,다른 나라 물건을 들여올 때 내는 세금이에요,국제거래
무역수지,수출과 수입의 차이를 계산한 것이에요,국제거래
달러,미국에서 쓰는 돈이에요,국제거래
Budget,얼마나 돈을 쓸지 미리 계획하는 것이에요,영어
Price,물건의 값이에요,영어
Cost,물건이나 서비스에 들어가는 돈이에요,영어
Profit,번 돈이에요,영어
Loss,잃은 돈이에요,영어
Wealth,모아둔 재산이에요,영어
퍼센트,100분의 1을 나타내는 단위예요,수학
그래프,숫자를 그림으로 나타낸 것이에요,수학
평균,모든 수를 더해서 개수로 나눈 값이에요,수학
비율,두 수를 비교해서 나타낸 것이에요,수학
순서,차례대로 늘어선 것이에요,수학
임대료,건물이나 방을 빌려 쓸 때 내는 돈이에요,부동산
전세,집을 빌리면서 많은 돈을 맡겨두고 나중에 다시 받는 거예요,부동산
월세,집을 빌리고 매달 돈을 내는 거예요,부동산
부동산,땅이나 건물을 말해요,부동산
시세,부동산의 현재 가격이에요,부동산
등기,건물이나 땅의 주인이 누구인지 적어두는 문서예요,부동산
재산세,가지고 있는 건물이나 땅에 대해 내는 세금이에요,세금
부가세,물건을 살 때 더해서 내는 세금이에요,세금
소득세,번 돈에서 내는 세금이에요,세금
세금,나라에 내는 돈이에요,세금
신고,정부에 정직하게 알리는 것이에요,세금
공제,세금을 줄여주는 것이에요,세금
창업,새로운 회사를 시작하는 거예요,창업
사업계획,회사를 어떻게 운영할지 미리 계획하는 거예요,창업
자본금,회사를 시작할 때 필요한 돈이에요,창업
매출,물건을 팔아서 번 돈이에요,창업
원가,물건을 만드는데 들어가는 돈이에요,창업
경쟁사,비슷한 물건을 파는 다른 회사예요,창업
급여,일하고 받는 돈이에요,직장
월급,한 달 동안 일하고 받는 돈이에요,직장
연봉,1년 동안 받는 모든 급여예요,직장
퇴직금,회사를 그만둘 때 받는 돈이에요,직장
복리후생,회사가 직원들을 위해 주는 여러 가지 혜택이에요,직장
야근,늦게까지 일하는 것이에요,직장
성과금,일을 잘해서 추가로 받는 돈이에요,직장
Stock,주식을 영어로 하면 이거예요,영어
Market,시장을 영어로 하면 이거예요,영어
Trade,거래를 영어로 하면 이거예요,영어
Income,수입을 영어로 하면 이거예요,영어
Investment,투자를 영어로 하면 이거예요,영어
보고서,회사의 중요한 내용을 정리한 문서예요,비즈니스
회의,여러 사람이 모여서 의견을 나누는 거예요,비즈니스
실적,회사가 얼마나 잘 했는지 보여주는 결과예요,비즈니스
자료,중요한 정보를 모아둔 것이에요,비즈니스
목표,이루고 싶은 것이에요,비즈니스
가상화폐,인터넷에서만 사용하는 특별한 돈이에요,투자
위험성,잃을 수 있는 가능성이에요,투자
분산투자,여러 곳에 나누어서 투자하는 거예요,투자
장기투자,오랫동안 투자하는 거예요,투자
단기투자,짧은 기간 동안 투자하는 거예요,투자
보험료,보험에 가입하기 위해 내는 돈이에요,보험
생명보험,사람의 생명과 관련된 보험이에요,보험
건강보험,아플 때 병원비를 덜 내도록 도와주는 보험이에요,보험
화재보험,불이 났을 때를 대비하는 보험이에요,보험
자동차보험,차 사고가 났을 때를 대비하는 보험이에요,보험
보상,보험회사가 사고가 났을 때 주는 돈이에요,보험
온라인쇼핑,인터넷으로 물건을 사는 거예요,전자상거래
장바구니,사고 싶은 물건을 담아두는 곳이에요,전자상거래
배송료,물건을 배달해주는 값이에요,전자상거래
할인쿠폰,물건을 살 때 깎아주는 쿠폰이에요,전자상거래
적립금,물건을 사면 쌓이는 보너스 점수예요,전자상거래
후기,물건을 산 사람들이 쓴 평가예요,전자상거래
페이,핸드폰으로 돈을 내는 방법이에요,디지털금융
계좌이체,한 통장에서 다른 통장으로 돈을 보내는 거예요,디지털금융
인터넷뱅킹,집에서 컴퓨터로 은행일을 보는 거예요,디지털금융
모바일뱅킹,스마트폰으로 은행일을 보는 거예요,디지털금융
비밀번호,남이 못쓰게 만든 나만의 숫자예요,디지털금융
QR코드,카메라로 찍어서 돈을 내는 특별한 그림이에요,디지털금융
친환경기업,환경을 생각하면서 물건을 만드는 회사예요,ESG
재활용,쓰던 물건을 다시 사용하는 거예요,ESG
에너지절약,전기나 물을 아끼는 거예요,ESG
탄소발자국,우리가 환경에 미치는 영향이에요,ESG
기부,어려운 사람을 돕기 위해 돈이나 물건을 주는 거예요,ESG
봉사활동,다른 사람을 돕는 활동이에요,ESG
용돈,부모님께 받는 작은 돈이에요,용돈관리
저금통,동전이나 지폐를 모으는 통이에요,용돈관리
용돈기입장,쓴 돈을 적는 특별한 공책이에요,용돈관리
절약,돈을 아껴쓰는 거예요,용돈관리
비상금,급할 때를 위해 따로 모아둔 돈이에요,용돈관리
계획소비,미리 생각하고 돈을 쓰는 거예요,용돈관리
Cash,현금을 영어로 하면 이거예요,영어
Coin,동전을 영어로 하면 이거예요,영어
Wallet,지갑을 영어로 하면 이거예요,영어
Receipt,영수증을 영어로 하면 이거예요,영어
Discount,할인을 영어로 하면 이거예요,영어
광고수익,광고를 해주고 받는 돈이에요,수익창출
구독료,정기적으로 서비스를 이용하는 대가로 내는 돈이에요,수익창출
크리에이터,영상이나 콘텐츠를 만들어서 돈을 버는 사람이에요,수익창출
팁,서비스가 마음에 들어서 더 주는 돈이에요,수익창출
로열티,다른 사람의 아이디어를 빌려쓰고 내는 돈이에요,수익창출
게임머니,게임 안에서 쓰는 돈이에요,게임경제
아이템,게임에서 살 수 있는 물건이에요,게임경제
과금,게임에서 실제 돈을 쓰는 거예요,게임경제
거래소,게임 아이템을 사고파는 곳이에요,게임경제
캐시,게임에서 쓸 수 있게 충전한 돈이에요,게임경제
보안카드,은행 거래할 때 쓰는 비밀숫자 카드예요,금융보안
OTP,계속 바뀌는 비밀번호예요,금융보안
공인인증서,인터넷에서 나임을 증명하는 문서예요,금융보안
해킹,나쁜 사람이 돈을 훔치려고 하는 거예요,금융보안
피싱,거짓말로 개인정보를 빼가려는 거예요,금융보안
메타버스,가상세계에서 경제활동을 하는 거예요,미래경제
NFT,디지털 물건의 주인임을 증명하는 거예요,미래경제
핀테크,금융과 기술이 만난 새로운 서비스예요,미래경제
블록체인,거래 정보를 안전하게 기록하는 기술이에요,미래경제
심부름,부탁받은 일을 해주고 받는 용돈이에요,용돈벌기
리사이클,재활용품을 모아서 파는 거예요,용돈벌기
벼룩시장,안 쓰는 물건을 파는 거예요,용돈벌기
장학금,공부를 잘하면 받을 수 있는 돈이에요,용돈벌기
아르바이트,잠깐 일하고 받는 돈이에요,용돈벌기
공정무역,물건을 만든 사람에게 정당한 돈을 주는 거예요,착한소비
지역화폐,우리 동네에서만 쓸 수 있는 돈이에요,착한소비
기부물품,어려운 사람을 위해 사는 물건이에요,착한소비
안전인증,안전한 물건이라는 걸 보여주는 표시예요,착한소비
제로웨이스트,쓰레기를 덜 만들면서 물건 사는 거예요,착한소비
장학생,공부를 잘해서 돈을 받는 학생이에요,교육지원
급식비,학교에서 밥 먹는데 내는 돈이에요,교육지원
교육비,공부하는데 드는 돈이에요,교육지원
문방구,학용품을 파는 가게예요,교육지원
학습준비물,공부할 때 필요한 물건이에요,교육지원
재난지원금,어려울 때 정부가 주는 돈이에요,정부지원
바우처,정부가 주는 특별한 쿠폰이에요,정부지원
복지카드,도움이 필요한 사람에게 주는 카드예요,정부지원
수당,특별한 상황에서 받는 추가 돈이에요,정부지원
지원금,정부가 도와주기 위해 주는 돈이에요,정부지원
용돈관리앱,용돈을 잘 쓸 수 있게 도와주는 앱이에요,금융앱
가계부앱,돈을 얼마나 썼는지 기록하는 앱이에요,금융앱
송금앱,돈을 쉽게 보낼 수 있는 앱이에요,금융앱
투자앱,주식이나 펀드를 살 수 있는 앱이에요,금융앱
할인앱,싸게 살 수 있는 곳을 알려주는 앱이에요,금융앱
Exchange,환전을 영어로 하면 이거예요,영어
Account,계좌를 영어로 하면 이거예요,영어
Shopping,쇼핑을 영어로 하면 이거예요,영어
Salary,급여를 영어로 하면 이거예요,영어
Payment,지불을 영어로 하면 이거예요,영어
가계,한 가족의 살림살이를 말해요,가족경제
생활비,살아가는데 필요한 돈이에요,가족경제
공과금,전기 물 가스 등에 쓰는 돈이에요,가족경제
가족수당,가족이 있는 직원에게 주는 추가 돈이에요,가족경제
양육비,아이를 키우는데 드는 돈이에요,가족경제
진료비,병원에서 치료받을 때 내는 돈이에요,건강과돈
약값,약을 살 때 내는 돈이에요,건강과돈
의료보험,병원비를 아끼는데 도움을 주는 보험이에요,건강과돈
상해보험,다쳤을 때를 대비하는 보험이에요,건강과돈
실손보험,실제로 쓴 병원비를 돌려받는 보험이에요,건강과돈
공연료,공연을 보는데 내는 돈이에요,문화생활
취미비용,좋아하는 것을 하는데 쓰는 돈이에요,문화생활
환전,우리나라 돈을 외국 돈으로 바꾸는 거예요,여행경제
숙박비,여행가서 잠자는 곳에 내는 돈이에요,여행경제
교통비,이동하는데 쓰는 돈이에요,여행경제
여행자보험,여행 중 사고를 대비하는 보험이에요,여행경제
기념품비,여행 추억으로 물건 사는 돈이에요,여행경제
식비,먹는데 쓰는 돈이에요,식생활경제
식료품비,음식 재료를 사는데 쓰는 돈이에요,식생활경제
외식비,밖에서 밥 먹는데 쓰는 돈이에요,식생활경제
급식비,학교에서 밥 먹는데 쓰는 돈이에요,식생활경제
장난감,가지고 놀 수 있는 물건이에요,어린이소비
문구류,공부할 때 쓰는 물건이에요,어린이소비
학용품,학교에서 쓰는 물건이에요,어린이소비
게임비,게임하는데 쓰는 돈이에요,어린이소비
선물,다른 사람에게 주는 물건이에요,선물경제
기프티콘,휴대폰으로 선물하는 상품권이에요,선물경제
답례품,받은 선물에 대한 보답 선물이에요,선물경제
축하금,특별한 날을 축하하며 주는 돈이에요,선물경제
상품권,물건을 살 수 있는 종이나 카드예요,선물경제
천연자원,자연에서 나는 귀중한 자원이에요,자원경제
재생에너지,다시 만들어 쓸 수 있는 에너지예요,자원경제
절약,아껴쓰는 것이에요,자원경제
자원순환,자원을 다시 사용하는 것이에요,자원경제
에너지비용,전기나 가스를 쓰는데 드는 돈이에요,자원경제
정기구독,일정한 기간마다 돈을 내고 이용하는 거예요,구독경제
멤버십,회원이 되어 특별한 혜택을 받는 거예요,구독경제
이용권,정해진 기간 동안 쓸 수 있는 권리예요,구독경제
월정액,매달 내는 일정한 금액이에요,구독경제
구독서비스,계속해서 받아보는 서비스예요,구독경제
Family,가족을 영어로 하면 이거예요,영어
Money Box,저금통을 영어로 하면 이거예요,영어
Gift,선물을 영어로 하면 이거예요,영어
Store,가게를 영어로 하면 이거예요,영어
Price Tag,가격표를 영어로 하면 이거예요,영어
과제준비,숙제하는데 필요한 준비물이에요,학습경제
학원비,학원에 다닐 때 내는 돈이에요,학습경제
교재비,공부하는 책을 사는데 쓰는 돈이에요,학습경제
온라인강의,인터넷으로 듣는 수업이에요,학습경제
과외비,개인 선생님께 배우는데 쓰는 돈이에요,학습경제
봉사시간,다른 사람을 돕는 시간이에요,봉사경제
기부금,어려운 사람을 돕기 위해 내는 돈이에요,봉사경제
무료급식,공짜로 제공되는 급식이에요,봉사경제
자선바자회,물건을 팔아서 어려운 사람을 돕는 행사예요,봉사경제
후원금,정기적으로 돕기 위해 내는 돈이에요,봉사경제
저작권,창작물의 권리를 보호하는 거예요,지식재산
특허,새로운 발명품의 권리를 보호하는 거예요,지식재산
상표권,상품 이름이나 로고의 권리예요,지식재산
콘텐츠,영상이나 글 같은 창작물이에요,지식재산
라이센스,다른 사람의 창작물을 쓸 수 있는 권리예요,지식재산
복권,당첨되면 돈을 받을 수 있는 종이예요,행운경제
경품,운 좋게 받을 수 있는 선물이에요,행운경제
당첨금,게임이나 복권에서 당첨되어 받는 돈이에요,행운경제
상금,대회에서 좋은 성적을 거두고 받는 돈이에요,행운경제
보너스,추가로 받는 특별한 돈이에요,행운경제
알뜰교통카드,교통비를 아낄 수 있는 카드예요,교통경제
주유비,자동차에 기름 넣는데 쓰는 돈이에요,교통경제
주차비,차를 세워두는데 내는 돈이에요,교통경제
택시비,택시를 타는데 쓰는 돈이에요,교통경제
교통카드,버스나 지하철을 탈 때 쓰는 카드예요,교통경제
계절할인,특정 계절에 물건값을 깎아주는 거예요,할인경제
할인점,물건을 싸게 파는 가게예요,할인경제
세일,물건값을 깎아서 파는 거예요,할인경제
이월상품,지난 시즌 물건을 싸게 파는 거예요,할인경제
특가,특별히 싸게 파는 가격이에요,할인경제
출판,책을 만들어서 파는 일이에요,출판경제
인쇄비,글이나 그림을 종이에 찍는 비용이에요,출판경제
원고료,글을 써서 받는 돈이에요,출판경제
도서비,책을 사는데 쓰는 돈이에요,출판경제
독자,책을 읽는 사람이에요,출판경제
Study,공부를 영어로 하면 이거예요,영어
Library,도서관을 영어로 하면 이거예요,영어
School,학교를 영어로 하면 이거예요,영어
Book,책을 영어로 하면 이거예요,영어
Student,학생을 영어로 하면 이거예요,영어